row ID,row m/z,row retention time,오미자 중국1,오미자 중국2,오미자 중국3,오미자 중국4,오미자 중국5,오미자 중국6,오미자 중국7,오미자 중국8,오미자 중국9,오미자 중국10,오미자 중국11,오미자 중국12,오미자 중국13,오미자 중국14,오미자 중국15,오미자 중국16,오미자 중국17,오미자 중국18,오미자 중국19,오미자 중국20,오미자 중국21,오미자 중국22,오미자 중국23,오미자 중국24,오미자 중국25,오미자 중국26,오미자 중국27,오미자 한국1,오미자 한국2,오미자 한국3,오미자 한국4,오미자 한국5,오미자 한국6,오미자 한국7,오미자 한국8,오미자 한국9,오미자 한국10,오미자 한국11,오미자 한국12,오미자 한국13,오미자 한국14,오미자 한국15,오미자 한국16,오미자 한국17,오미자 한국18,오미자 한국19,오미자 한국20,오미자 한국21,오미자 한국22,오미자 한국23,오미자 한국24,오미자 한국25,오미자 한국26,오미자 한국27,오미자 한국28,오미자 한국29,오미자 한국30
41,89.03047844,39.33861123,1319575.235,206782.108,0,0,147387.996,183110.983,413842.714,170703.413,450486.733,349373.891,262419.924,334578.29,1108759.494,144823.109,710764.832,0,230080.599,246747.988,0,269227.06,152804.87,282623.915,0,228121.895,505733.777,375170.875,735320.984,1308697.161,787252.064,793354.959,1102306.307,1081583.155,1197350.549,0,1070750.902,1187885.586,1178740.482,429244.778,972736.948,1183875.558,1041490.502,1193321.882,0,0,1112035.813,598285.553,0,1158700.836,1276797.466,0,1333491.256,0,1067566.075,769340.872,1023651.758,782765.856,1248397.885
42,93.01612345,35.76722778,0,0,0,0,0,0,0,0,0,0,151612.348,0,0,0,0,0,0,0,0,0,0,139814.267,0,0,0,186422.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,99.03365502,32.49706026,0,152061.71,117551.785,0,0,0,0,0,0,0,104181.954,0,0,0,0,0,137134.326,0,166572.663,0,0,0,0,159768.175,0,141683.561,126079.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118812.184,122457.37,116428.544,133124.902,0,140639.864
44,103.0348085,35.78319936,0,229516.782,0,0,144227.287,201680.676,0,188591.102,163349.463,260237.81,294559.659,191521.846,0,128286.143,0,0,0,0,154634.229,218619.892,0,303095.419,0,250435.603,0,507204.235,373380.296,288876.167,0,263128.281,0,208037.95,344402.005,0,322182.478,381933.572,0,0,352146.245,370209.868,0,0,0,0,0,141372.311,0,0,0,0,0,0,0,292324.251,0,274378.279,0
45,103.0506807,38.35020455,1.11E+07,1989122.561,3869314.924,3780705.332,1514016.13,1845030.473,4314135.6,1899713.919,0,3124967.666,3067428.128,3901887.392,1.04E+07,2290010.714,0,1511496.865,2229687.388,3182923.096,0,2942862.757,1609948.737,2715930.504,0,2336885.689,6926380.632,3916389.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,103.0493026,38.739025,0,1171442.561,0,0,868720.57,1061609.521,2527527.784,1139146.593,3359213.902,1904450.561,1759347.737,2383722.112,0,1322913.121,0,891516.553,1273843.794,1877057.327,2237701.658,1683859.168,943294.009,1511368.64,0,1324137.905,0,2231781.96,4804055.174,0,6151671.396,0,0,0,95641.155,0,0,0,0,3353919.079,0,0,0,0,0,0,0,5042671.931,0,0,0,0,0,0,0,5241595.416,0,0,108106.585
47,103.0475398,66.55311812,1494122.399,0,0,0,0,0,389773.36,0,519313.24,0,127385.77,371537.106,535455.634,152550.248,0,65659.389,0,176419.89,0,153673.441,0,0,0,0,0,0,189125.665,329126.257,145285.921,0,694084.176,0,0,0,0,0,285069.721,1051483.015,687435.329,0,0,0,0,0,0,430150.743,456823.718,0,543547.344,0,665040.071,0,695687.264,0,0,681266.256,0
48,104.0475691,38.36272619,2065462.894,178050.605,358716.198,351281.924,126257.607,159836.728,0,166345.007,0,294937.076,282411.886,367580.41,1782569.773,210430.638,953435.537,133666.982,205540.111,285915.006,0,269401.759,145368.983,246701.613,184412.464,217510.639,824414.345,367417.924,799560.201,0,843899.465,0,1499795.669,1553580.575,0,1374710.224,1432540.463,1640333.534,1407296.208,0,0,0,1137790.425,0,0,0,0,0,0,1474399.007,1835430.69,0,0,0,0,0,0,965602.679,0
49,104.0532106,38.80312458,1410106.142,0,211646.91,195687.155,0,0,230577.997,0,300378.061,165074.91,160943.388,223040.619,1180769.527,0,578519.594,0,0,171498.007,207682.829,153928.43,0,137813.156,0,0,462140.153,200963.285,455176.85,1150088.344,639315.219,656022.993,1066931.822,1000468.217,0,0,977595.633,1162275.496,1042477.632,311028.035,0,1294660.192,868348.344,1280394.455,0,0,1072574.952,481140.698,1247068.917,1031925.672,1354958.007,0,1444074.142,1155346.414,957896.272,498853.259,844648.113,0,1280222.599
50,105.0681315,32.50045556,0,209521.998,158915.209,128717.85,0,0,0,0,109073.119,0,140286.146,0,0,0,0,0,184570.83,0,220044.783,0,0,0,0,217223.239,0,0,172873.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160611.312,164990.97,155733.864,177767.726,147413.197,192529.64
